invalid,valid,operations
+860ee67046333,+8603367046333,keep|keep|keep|keep|replace_3|replace_3|keep|keep|keep|keep|keep|keep|keep|keep
+3326s645461,+33265645461,keep|keep|keep|keep|keep|replace_5|keep|keep|keep|keep|keep|keep
+446g76404914,+446976404914,keep|keep|keep|keep|replace_9|keep|keep|keep|keep|keep|keep|keep|keep
2043649313,+12043649313,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+618359490 80,+61835949080,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep
+l1091974617,+11091974617,keep|replace_1|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
67240647786,+8667240647786,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
2727043479,+912727043479,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+613262 2944 5,+61326229445,keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|delete|keep
077881120,+33077881120,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6s3888g619,+6538889619,keep|keep|replace_5|keep|keep|keep|keep|replace_9|keep|keep|keep
4l9071 68 87,+914190716887,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6s342074a9,+6534207429,keep|keep|replace_5|keep|keep|keep|keep|keep|keep|replace_2|keep
4776655851,+914776655851,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
4312675407,+914312675407,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+33526 684799,+33526684799,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep
+6l0372918g4,+61037291894,keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep|replace_9|keep
8335999508,+918335999508,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
8326572493,+918326572493,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86975a9454576,+8697529454576,keep|keep|keep|keep|keep|keep|replace_2|keep|keep|keep|keep|keep|keep|keep
83066327496,+8683066327496,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+8677112202579,+8677112202579,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61360601308,+61360601308,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
s3e5689 48 3,+15335689483,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6502429292,+6502429292,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
04943593661,+8604943593661,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
7835858378,+17835858378,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+917956 267959,+917956267959,keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep
+8683731g84310,+8683731984310,keep|keep|keep|keep|keep|keep|keep|keep|replace_9|keep|keep|keep|keep|keep
376 49 9784,+61376499784,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+616947022 84,+61694702284,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep
+11 439865600,+11439865600,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
9865 o0 15510,+8698650015510,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+658  1912657,+6581912657,keep|keep|keep|keep|delete|delete|keep|keep|keep|keep|keep|keep|keep
+330643 93357,+33064393357,keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep
87990l 87 270,+8687990187270,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+33812  427977,+33812427977,keep|keep|keep|keep|keep|keep|delete|delete|keep|keep|keep|keep|keep|keep
871935162,+33871935162,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
175006744,+61175006744,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6s55a86064,+6555286064,keep|keep|replace_5|keep|keep|replace_2|keep|keep|keep|keep|keep
5964820 38 31,+8659648203831,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
83515281847,+8683515281847,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
29479042,+6529479042,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
8219865042,+448219865042,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86l1a776583o7,+8611277658307,keep|keep|keep|replace_1|keep|replace_2|keep|keep|keep|keep|keep|keep|replace_0|keep
+15 428443306,+15428443306,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
056175347,+61056175347,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+613 08779565,+61308779565,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep
928368682,+61928368682,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+65754 3708 0,+6575437080,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|delete|keep
+6188337 1858,+61883371858,keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep
+91021444e420,+910214443420,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_3|keep|keep|keep
+91b32017o767,+918320170767,keep|keep|keep|replace_8|keep|keep|keep|keep|keep|replace_0|keep|keep|keep
+443s74a5382e,+443574253823,keep|keep|keep|keep|replace_5|keep|keep|replace_2|keep|keep|keep|keep|replace_3
+86251716b0765,+8625171680765,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_8|keep|keep|keep|keep
5972908027,+15972908027,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+9137o5007309,+913705007309,keep|keep|keep|keep|keep|replace_0|keep|keep|keep|keep|keep|keep|keep
+19588740807,+19588740807,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+16207277409,+16207277409,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
6603111303,+16603111303,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+91  2730092861,+912730092861,keep|keep|keep|delete|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6l91a58b623,+61912588623,keep|keep|replace_1|keep|keep|replace_2|keep|keep|replace_8|keep|keep|keep
+61710820694,+61710820694,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+337854 51326,+33785451326,keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep
1228679853,+441228679853,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
174634700,+33174634700,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
912005471,+61912005471,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86s0301477a39,+8650301477239,keep|keep|keep|replace_5|keep|keep|keep|keep|keep|keep|keep|replace_2|keep|keep
+44549494g426,+445494949426,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_9|keep|keep|keep
+13os3448015,+13053448015,keep|keep|keep|replace_0|replace_5|keep|keep|keep|keep|keep|keep|keep
+441 290446320,+441290446320,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
1320217 58 7,+911320217587,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+864043s241554,+8640435241554,keep|keep|keep|keep|keep|keep|keep|replace_5|keep|keep|keep|keep|keep|keep
+173b95o229e,+17389502293,keep|keep|keep|keep|replace_8|keep|keep|replace_0|keep|keep|keep|replace_3
+6s07682102,+6507682102,keep|keep|replace_5|keep|keep|keep|keep|keep|keep|keep|keep
362873000,+33362873000,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
524 6l 5525,+61524615525,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+617822l7907,+61782217907,keep|keep|keep|keep|keep|keep|keep|replace_1|keep|keep|keep|keep
3840477480,+13840477480,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
176813527,+61176813527,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
1251 7o 6l,+6512517061,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+449716a76765,+449716276765,keep|keep|keep|keep|keep|keep|keep|replace_2|keep|keep|keep|keep|keep
0844242885,+10844242885,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
699375331,+33699375331,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+863475367 16 11,+8634753671611,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|delete|keep|keep
08099155067,+8608099155067,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
5488028133,+15488028133,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+e32205724o9,+33220572409,keep|replace_3|keep|keep|keep|keep|keep|keep|keep|keep|replace_0|keep
+33964 4407 03,+33964440703,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|delete|keep|keep
22490456821,+8622490456821,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+8 68 6814318855,+8686814318855,keep|keep|delete|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+g16187763125,+916187763125,keep|replace_9|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+b6428o5594494,+8642805594494,keep|replace_8|keep|keep|keep|keep|replace_0|keep|keep|keep|keep|keep|keep|keep
928 25 o53783,+8692825053783,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86607954g8145,+8660795498145,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_9|keep|keep|keep|keep
+1 6963843 632,+16963843632,keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep
877537281,+33877537281,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+b669397864731,+8669397864731,keep|replace_8|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6196 989892 4,+61969898924,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|delete|keep
0o3 57 5881,+61003575881,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86387s0151944,+8638750151944,keep|keep|keep|keep|keep|keep|replace_5|keep|keep|keep|keep|keep|keep|keep
+659 2 570015,+6592570015,keep|keep|keep|keep|delete|keep|delete|keep|keep|keep|keep|keep|keep
79848126655,+8679848126655,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
s32l0 41 167,+445321041167,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
037155849,+33037155849,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+919 479716754,+919479716754,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
93857612086,+8693857612086,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
